State_Short,State,Quarter,Broad Type of Service, Services ,Benefits, Bulk Billed Services , Patient Billed Services , Bulk Billed Benefits ($) , Patient Billed Benefits ($) ,MBS Bulk Billing Rate (%), Avg Patient Contribution Per Service: Out of Hospital Patient Billed ($) , Schedule Fee ($) , Fee Charged ($) , Bulk Billed Fee Charged ($) , Patient Billed Fee Charged ($) 
Australia,Queensland,2021-22 Q4 (Jun Qtr),Total Medicare,"119,931,603","6,877,562,587","96,570,375","23,361,228","4,829,073,230","2,048,489,358",80.50%,78.19,"7,536,288,685","8,975,433,906","4,826,966,606","4,148,467,300"
NSW,South Australia,2021-22 Q4 (Jun Qtr),Total Medicare,"40,724,943","2,338,745,696","33,195,038","7,529,905","1,681,195,971","657,549,724",81.50%,84.97,"2,564,238,563","3,044,877,125","1,680,385,485","1,364,491,640"
Vic,Western Australia,2021-22 Q4 (Jun Qtr),Total Medicare,"31,333,627","1,789,239,228","25,241,290","6,092,337","1,247,277,689","541,961,540",80.60%,78.76,"1,960,508,658","2,335,461,806","1,246,841,254","1,088,620,552"
Qld,Tasmania,2021-22 Q4 (Jun Qtr),Total Medicare,"24,066,694","1,389,173,702","19,280,094","4,786,600","978,562,897","410,610,805",80.10%,75.06,"1,520,392,536","1,811,971,187","978,116,831","833,854,355"
SA,Northern Australia,2021-22 Q4 (Jun Qtr),Total Medicare,"8,159,067","472,976,090","6,530,900","1,628,167","322,730,011","150,246,080",80.00%,66.26,"520,099,956","604,819,536","322,586,054","282,233,482"
WA,Australian Capital Territory,2021-22 Q4 (Jun Qtr),Total Medicare,"10,742,829","617,637,145","8,540,262","2,202,567","422,824,548","194,812,597",79.50%,74.54,"674,227,483","808,662,789","422,632,783","386,030,006"
Tas,Unknown,2021-22 Q4 (Jun Qtr),Total Medicare,"2,293,656","129,489,243","1,746,538","547,118","83,869,493","45,619,750",76.10%,62.05,"143,976,619","172,303,247","83,835,690","88,467,557"
NT,Australia,2021-22 Q4 (Jun Qtr),Total Medicare,"723,158","39,372,076","629,840","93,318","31,295,787","8,076,288",87.10%,70.1,"42,812,509","48,178,176","31,278,104","16,900,071"
ACT,New South Wales,2021-22 Q4 (Jun Qtr),Total Medicare,"1,885,841","100,821,202","1,405,176","480,665","61,248,008","39,573,194",74.50%,80.88,"109,910,585","149,007,474","61,221,578","87,785,896"
Unk,Victoria,2021-22 Q4 (Jun Qtr),Total Medicare,"1,788","108,205","1,237",551,"68,826","39,379",69.20%,78.4,"121,777","152,566","68,826","83,740"
Australia,Queensland,2021-22 Q4 (Jun Qtr),Total GP Non-Referred Attendances,"45,867,392","2,241,482,661","39,888,183","5,979,209","1,952,157,782","289,324,879",87.00%,43.6,"2,245,678,952","2,501,326,427","1,952,157,782","549,168,645"
